Asset path,Asset type,Source file size,Source file size human,Estimated packed/build size,Referencing scene/prefab/component/script/Resources,Also present in StreamingAssets,Recommended action,Risk level
Assets/SubstanceAssets/LittleGamesPack/Textures/CardsAndTables/CardsAndTables_Base_color.png,Texture,15515356,14.8 MB,Unavailable: buildreport missing,Assets/SubstanceAssets/LittleGamesPack/Materials/CardsAndTables.mat,No,Review,High
Assets/TerrainSampleAssets/Textures/Terrain/Grass_B_MaskMap.tif,Texture,15253592,14.5 MB,Unavailable: buildreport missing,,No,Review,Unknown
Assets/Coconut Palm Tree Pack/Textures/Coconut_Palm_Tree_diffuse.psd,Texture,15023852,14.3 MB,Unavailable: buildreport missing,Assets/Coconut Palm Tree Pack/Materials/Coconut_Palm_Tree_AFS.mat; Assets/Coconut Palm Tree Pack/Materials/bark.mat; Assets/Coconut Palm Tree Pack/Materials/leaf.mat,No,Review,High
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Dry_MaskMap.tif,Texture,15006184,14.3 MB,Unavailable: buildreport missing,,No,Review,Unknown
Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-4.exr,Texture,14975272,14.3 MB,Unavailable: buildreport missing,,No,Review,Unknown
Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-1.exr,Texture,14974493,14.3 MB,Unavailable: buildreport missing,,No,Review,Unknown
Assets/BCaT_assets/Ri/you don't know about style my darling_720p.mp4,Video,14920335,14.2 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity,No,Review,High
Assets/StreamingAssets/you don't know about style my darling_720p.mp4,Video,14920335,14.2 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity; StreamingAssets raw copy,Yes,Review,High
Assets/TerrainSampleAssets/Textures/Terrain/Heather_MaskMap.tif,Texture,14310964,13.6 MB,Unavailable: buildreport missing,,No,Review,Unknown
Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/textures/Camara_Low_V2_lambert3_Normal.png,Texture,14076281,13.4 MB,Unavailable: buildreport missing,,No,Review,Unknown
Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-7.exr,Texture,13830688,13.2 MB,Unavailable: buildreport missing,,No,Review,Unknown
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_C_MaskMap.tif,Texture,13710252,13.1 MB,Unavailable: buildreport missing,,No,Review,Unknown
Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Textures/Oak Ladder Shelf Panels/OakLadderShelfPanelsNormalMap.png,Texture,13546741,12.9 MB,Unavailable: buildreport missing,,No,Review,Unknown
Assets/BCaT_assets/SewingRoom/pillow__quilt.glb,Model/Mesh,13420528,12.8 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,No,Review,High
