Scope,Rank,Path,Size,Size human,Under Assets,Concern,Recommendation
git_tracked,44,Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p.mp4,34127159,32.5 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,45,Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_C_BaseColor.tif,33735820,32.2 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,46,Assets/TerrainSampleAssets/Textures/Terrain/Muddy_BaseColor.tif,33725212,32.2 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,47,Assets/TerrainSampleAssets/Textures/Heightmaps/Ridge05_Heightmap.tif,33577404,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,48,Assets/TerrainSampleAssets/Textures/Heightmaps/Ridge06_Heightmap.tif,33574684,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,49,Assets/TerrainSampleAssets/Textures/Heightmaps/Errosion02_Heightmap.tif,33573800,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,50,Assets/TerrainSampleAssets/Textures/Heightmaps/Slope04_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,51,Assets/TerrainSampleAssets/Textures/Heightmaps/Slope03_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,52,Assets/TerrainSampleAssets/Textures/Heightmaps/Slope02_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,53,Assets/TerrainSampleAssets/Textures/Heightmaps/Slope01_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,54,Assets/TerrainSampleAssets/Textures/Heightmaps/Mountain11_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,55,Assets/TerrainSampleAssets/Textures/Heightmaps/Mountain10_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,56,Assets/TerrainSampleAssets/Textures/Heightmaps/Mountain09_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,57,Assets/TerrainSampleAssets/Textures/Heightmaps/Hills02_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,58,Assets/TerrainSampleAssets/Textures/Heightmaps/Hills01_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,59,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Soil_BaseColor.tif,33421736,31.9 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,60,Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_BaseColor.tif,33337120,31.8 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,61,Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_A_BaseColor.tif,32999956,31.5 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,62,Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_B_BaseColor.tif,32092168,30.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,63,Assets/TerrainSampleAssets/Textures/Terrain/Tidal_Pools_BaseColor.tif,31929948,30.5 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,64,Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb,29600972,28.2 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,65,Assets/TerrainSampleAssets/Textures/Terrain/Snow_BaseColor.tif,29474316,28.1 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,66,Assets/My_Custom/rug.glb,29117224,27.8 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,67,Assets/RealBlend/Art/Materials/Textures/rough_plaster_brick_04_diff_2k.png,26399365,25.2 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,68,Assets/TerrainSampleAssets/Textures/Heightmaps/Volcano02_Heightmap.tif,26231012,25.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,69,Assets/TerrainSampleAssets/Textures/Heightmaps/Volcano01_Heightmap.tif,25188260,24.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,70,Assets/DevDen Arch Viz Scotland/Models/Bathroom/2.fbx,24828010,23.7 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,71,Assets/RealBlend/Art/Materials/Textures/Moss002_2K-PNG_NormalGL.png,24636888,23.5 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,72,Assets/TerrainSampleAssets/Textures/Terrain/Grass_A_MaskMap.tif,23264240,22.2 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,73,Assets/BCaT_assets/SewingRoom/bed.glb,21972076,21.0 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,74,Assets/RealBlend/Art/Materials/Textures/concrete_moss_diff_2k.png,21166815,20.2 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,75,Assets/My_Custom/modern_scandinavian_kitchen_island.glb,20094320,19.2 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,76,Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-8.exr,18705070,17.8 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,77,Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning.mp3,17999572,17.2 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,78,Assets/SubstanceAssets/LittleGamesPack/Textures/ChessPieces/ChessPieces_Base_color.png,17751521,16.9 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,79,Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb,17575828,16.8 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,80,Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-5.exr,16824063,16.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,81,Assets/SubstanceAssets/LittleGamesPack/Textures/CardsAndTables/CardsAndTables_Normal_OpenGL.png,16669029,15.9 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,82,Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb,16633652,15.9 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,83,Assets/BCaT_assets/Meshell_Sturgis/My Grandma's Garden.png,16537844,15.8 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,84,Assets/danthaigames/DS 80s Television/PSDs/TV_Textures.psd,16315733,15.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,85,Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-6.exr,15709972,15.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,86,Assets/danthaigames/DS 80s Television/PSDs/TVScreen_Textures.psd,15585486,14.9 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,87,Assets/SubstanceAssets/LittleGamesPack/Textures/CardsAndTables/CardsAndTables_Base_color.png,15515356,14.8 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,88,Assets/TerrainSampleAssets/Textures/Terrain/Grass_B_MaskMap.tif,15253592,14.5 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,89,Assets/Coconut Palm Tree Pack/Textures/Coconut_Palm_Tree_diffuse.psd,15023852,14.3 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,90,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Dry_MaskMap.tif,15006184,14.3 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,91,Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-4.exr,14975272,14.3 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,92,Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-1.exr,14974493,14.3 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,93,Assets/StreamingAssets/you don't know about style my darling_720p.mp4,14920335,14.2 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,94,Assets/BCaT_assets/Ri/you don't know about style my darling_720p.mp4,14920335,14.2 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,95,Assets/TerrainSampleAssets/Textures/Terrain/Heather_MaskMap.tif,14310964,13.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,96,Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/textures/Camara_Low_V2_lambert3_Normal.png,14076281,13.4 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,97,Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-7.exr,13830688,13.2 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,98,Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_C_MaskMap.tif,13710252,13.1 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,99,Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Textures/Oak Ladder Shelf Panels/OakLadderShelfPanelsNormalMap.png,13546741,12.9 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,100,Assets/BCaT_assets/SewingRoom/pillow__quilt.glb,13420528,12.8 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
